,Disease_name,Drug_name,absorption,solubility,toxicity,Due_to_Deficiency_of
10460,Oral Thrush,fluconazole,Moderate,Water-soluble,Mildly toxic,Electrolytes
10461,Oral Thrush,clotrimazole,Moderate,Poorly soluble,Highly toxic,Electrolytes
10462,Oral Thrush,miconazole,Moderate,Water-soluble,Highly toxic,Electrolytes
10463,Oral Thrush,gentian violet,Moderate,Water-soluble,Highly toxic,Electrolytes
10464,Oral Thrush,ketoconazole,High,Lipid-soluble,Mildly toxic,Electrolytes
10465,Oral Thrush,itraconazole,Moderate,Lipid-soluble,Non-toxic,Electrolytes
10466,Oral Thrush,miconazole,Low,Lipid-soluble,Mildly toxic,Electrolytes
10467,Oral Thrush,amphotericin b,Moderate,Sparingly soluble,Highly toxic,Electrolytes
10468,Oral Thrush,posaconazole,High,Lipid-soluble,Non-toxic,Electrolytes
10469,Orbicularis Oculi,onabotulinumtoxinA,Low,Sparingly soluble,Non-toxic,Electrolytes
10470,"Organ Transplant, Rejection Prophylaxis",tacrolimus,High,Poorly soluble,Non-toxic,Electrolytes
10471,"Organ Transplant, Rejection Prophylaxis",mycophenolate mofetil,Moderate,Water-soluble,Non-toxic,Electrolytes
10472,"Organ Transplant, Rejection Prophylaxis",cyclosporine,Moderate,Poorly soluble,Highly toxic,Electrolytes
10473,"Organ Transplant, Rejection Prophylaxis",azathioprine,High,Lipid-soluble,Mildly toxic,Electrolytes
10474,"Organ Transplant, Rejection Prophylaxis",sirolimus,High,Poorly soluble,Mildly toxic,Electrolytes
10475,"Organ Transplant, Rejection Prophylaxis",everolimus,Moderate,Poorly soluble,Non-toxic,Electrolytes
10476,"Organ Transplant, Rejection Prophylaxis",basiliximab,High,Water-soluble,Mildly toxic,Electrolytes
10477,"Organ Transplant, Rejection Prophylaxis",cyclophosphamide,Moderate,Poorly soluble,Non-toxic,Electrolytes
10478,"Organ Transplant, Rejection Prophylaxis",daclizumab,Moderate,Poorly soluble,Non-toxic,Electrolytes
10479,"Organ Transplant, Rejection Reversal",tacrolimus,Moderate,Water-soluble,Highly toxic,Electrolytes
10480,Organophosphate Poisoning,atropine,High,Lipid-soluble,Highly toxic,Electrolytes
10481,Organophosphate Poisoning,atropine / pralidoxime,Low,Poorly soluble,Mildly toxic,Electrolytes
10482,Organophosphate Poisoning,pralidoxime,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
10483,Organophosphate Poisoning,tropicamide,Low,Water-soluble,Mildly toxic,Electrolytes
10484,Ornithosis,chloramphenicol,Low,Poorly soluble,Non-toxic,Electrolytes
10485,Ornithosis,tetracycline,Moderate,Water-soluble,Mildly toxic,Electrolytes
10486,Ornithosis,doxycycline,Moderate,Water-soluble,Non-toxic,Electrolytes
10487,Hereditary Orotic Aciduria,uridine,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
10488,Hypotension,midodrine,Low,Water-soluble,Non-toxic,Electrolytes
10489,Hypotension,norepinephrine,Moderate,Poorly soluble,Mildly toxic,Electrolytes
10490,Hypotension,phenylephrine,Moderate,Water-soluble,Highly toxic,Electrolytes
10491,Hypotension,ephedrine,Low,Poorly soluble,Mildly toxic,Electrolytes
10492,Hypotension,droxidopa,High,Poorly soluble,Mildly toxic,Electrolytes
10493,Osteoarthritis,meloxicam,High,Sparingly soluble,Highly toxic,Collagen Type I
10494,Osteoarthritis,diclofenac,High,Lipid-soluble,Non-toxic,Collagen Type I
10495,Osteoarthritis,naproxen,Low,Poorly soluble,Highly toxic,Collagen Type I
10496,Osteoarthritis,ibuprofen,High,Water-soluble,Highly toxic,Collagen Type I
10497,Osteoarthritis,celecoxib,High,Sparingly soluble,Non-toxic,Collagen Type I
10498,Osteoarthritis,chondroitin / glucosamine,High,Poorly soluble,Mildly toxic,Collagen Type I
10499,Osteoarthritis,diclofenac,Low,Lipid-soluble,Mildly toxic,Collagen Type I
10500,Osteoarthritis,etodolac,Low,Sparingly soluble,Highly toxic,Collagen Type I
10501,Osteoarthritis,prednisone,High,Lipid-soluble,Highly toxic,Collagen Type I
10502,Osteoarthritis,aspirin,High,Poorly soluble,Non-toxic,Collagen Type I
10503,Osteoarthritis,nabumetone,Moderate,Sparingly soluble,Highly toxic,Collagen Type I
10504,Osteoarthritis,duloxetine,Low,Poorly soluble,Highly toxic,Collagen Type I
10505,Osteoarthritis,meloxicam,Low,Lipid-soluble,Mildly toxic,Collagen Type I
10506,Osteoarthritis,diclofenac,High,Lipid-soluble,Highly toxic,Collagen Type I
10507,Osteoarthritis,naproxen,High,Lipid-soluble,Highly toxic,Collagen Type I
10508,Osteoarthritis,ibuprofen,Low,Sparingly soluble,Non-toxic,Collagen Type I
10509,Osteoarthritis,celecoxib,High,Lipid-soluble,Highly toxic,Collagen Type I
10510,Osteoarthritis,chondroitin / glucosamine,Moderate,Sparingly soluble,Non-toxic,Collagen Type I
10511,Osteoarthritis,diclofenac,Low,Poorly soluble,Highly toxic,Collagen Type I
10512,Osteoarthritis,etodolac,Moderate,Lipid-soluble,Mildly toxic,Collagen Type I
10513,Osteoarthritis,prednisone,Low,Sparingly soluble,Highly toxic,Collagen Type I
10514,Osteoarthritis,aspirin,High,Sparingly soluble,Highly toxic,Collagen Type I
10515,Osteoarthritis,nabumetone,Moderate,Sparingly soluble,Non-toxic,Collagen Type I
10516,Osteoarthritis,duloxetine,Low,Sparingly soluble,Non-toxic,Collagen Type I
10517,Osteogenesis Imperfecta,calcitonin,Moderate,Lipid-soluble,Highly toxic,Electrolytes
10518,Osteogenic Sarcoma,cisplatin,Low,Lipid-soluble,Highly toxic,Electrolytes
10519,Osteolytic Bone Lesions of Multiple Myeloma,zoledronic acid,High,Poorly soluble,Highly toxic,Osteocalcin
10520,Osteolytic Bone Lesions of Multiple Myeloma,pamidronate,Low,Lipid-soluble,Non-toxic,Osteocalcin
10521,Osteolytic Bone Lesions of Multiple Myeloma,denosumab,Low,Sparingly soluble,Non-toxic,Osteocalcin
10522,Osteolytic Bone Metastases of Solid Tumors,denosumab,Moderate,Sparingly soluble,Non-toxic,Osteocalcin
10523,Osteolytic Bone Metastases of Solid Tumors,zoledronic acid,Low,Lipid-soluble,Mildly toxic,Osteocalcin
10524,Osteomalacia,ergocalciferol,Low,Poorly soluble,Non-toxic,Vitamin D
10525,Osteomalacia,calcium lactate,Moderate,Poorly soluble,Non-toxic,Vitamin D
10526,Osteomalacia,"calcium phosphate, tribasic",Moderate,Lipid-soluble,Non-toxic,Vitamin D
10527,Bone infection (Osteomyelitis),cephalexin,Low,Lipid-soluble,Highly toxic,Antibodies
10528,Bone infection (Osteomyelitis),clindamycin,High,Sparingly soluble,Highly toxic,Antibodies
10529,Bone infection (Osteomyelitis),vancomycin,Moderate,Sparingly soluble,Mildly toxic,Antibodies
10530,Bone infection (Osteomyelitis),ciprofloxacin,High,Water-soluble,Highly toxic,Antibodies
10531,Bone infection (Osteomyelitis),ceftriaxone,Low,Sparingly soluble,Non-toxic,Antibodies
10532,Bone infection (Osteomyelitis),cefazolin,High,Water-soluble,Highly toxic,Antibodies
10533,Bone infection (Osteomyelitis),cefuroxime,Low,Poorly soluble,Mildly toxic,Antibodies
10534,Bone infection (Osteomyelitis),metronidazole,Low,Poorly soluble,Mildly toxic,Antibodies
10535,Bone infection (Osteomyelitis),piperacillin / tazobactam,Low,Lipid-soluble,Non-toxic,Antibodies
10536,Bone infection (Osteomyelitis),dicloxacillin,High,Lipid-soluble,Highly toxic,Antibodies
10537,Bone infection (Osteomyelitis),cefotaxime,Moderate,Lipid-soluble,Highly toxic,Antibodies
10538,Bone infection (Osteomyelitis),ceftazidime,High,Sparingly soluble,Highly toxic,Antibodies
10539,Bone infection (Osteomyelitis),gentamicin,Low,Sparingly soluble,Highly toxic,Antibodies
10540,Bone infection (Osteomyelitis),ofloxacin,High,Poorly soluble,Non-toxic,Antibodies
10541,Aseptic Necrosis,ibuprofen,Moderate,Water-soluble,Mildly toxic,Electrolytes
10542,Aseptic Necrosis,alendronate,Low,Water-soluble,Mildly toxic,Electrolytes
10543,Aseptic Necrosis,diclofenac,High,Poorly soluble,Mildly toxic,Electrolytes
10544,Aseptic Necrosis,aspirin,Low,Lipid-soluble,Non-toxic,Electrolytes
10545,Aseptic Necrosis,naproxen,Moderate,Poorly soluble,Mildly toxic,Electrolytes
10546,Osteopenia,calcium carbonate,High,Sparingly soluble,Highly toxic,Electrolytes
10547,Osteopenia,cholecalciferol / genistein / zinc glycinate,Low,Sparingly soluble,Non-toxic,Electrolytes
10548,Osteopetrosis,interferon gamma-1b,High,Water-soluble,Mildly toxic,Electrolytes
10549,Osteoporosis,alendronate,High,Poorly soluble,Mildly toxic,Calcium
10550,Osteoporosis,calcium / vitamin d,Low,Sparingly soluble,Non-toxic,Calcium
10551,Osteoporosis,calcium carbonate,Low,Lipid-soluble,Highly toxic,Calcium
10552,Osteoporosis,risedronate,Moderate,Sparingly soluble,Non-toxic,Calcium
10553,Osteoporosis,denosumab,High,Sparingly soluble,Mildly toxic,Calcium
10554,Osteoporosis,ibandronate,Moderate,Sparingly soluble,Non-toxic,Calcium
10555,Osteoporosis,hydrochlorothiazide,Low,Sparingly soluble,Mildly toxic,Calcium
10556,Osteoporosis,raloxifene,High,Poorly soluble,Highly toxic,Calcium
10557,Osteoporosis,calcitonin,Low,Lipid-soluble,Mildly toxic,Calcium
10558,Osteoporosis,estradiol,Low,Sparingly soluble,Mildly toxic,Calcium
10559,Osteoporosis,teriparatide,Moderate,Water-soluble,Mildly toxic,Calcium
10560,Osteoporosis,zoledronic acid,High,Lipid-soluble,Mildly toxic,Calcium
10561,Osteosarcoma,methotrexate,Low,Lipid-soluble,Highly toxic,Electrolytes
10562,Osteosarcoma,doxorubicin,High,Water-soluble,Non-toxic,Electrolytes
10563,Osteosarcoma,cyclophosphamide,Low,Water-soluble,Mildly toxic,Electrolytes
10564,Osteosarcoma,dactinomycin,High,Sparingly soluble,Non-toxic,Electrolytes
10565,Otitis Externa,hydrocortisone / neomycin / polymyxin b,Moderate,Lipid-soluble,Highly toxic,Electrolytes
10566,Otitis Externa,ciprofloxacin / dexamethasone,High,Poorly soluble,Non-toxic,Electrolytes
10567,Otitis Externa,acetic acid,Moderate,Sparingly soluble,Non-toxic,Electrolytes
10568,Otitis Externa,acetic acid / hydrocortisone,Moderate,Water-soluble,Mildly toxic,Electrolytes
10569,Otitis Externa,ceftazidime,High,Lipid-soluble,Highly toxic,Electrolytes
10570,Otitis Externa,acetic acid / aluminum acetate,Moderate,Poorly soluble,Non-toxic,Electrolytes
10571,Otitis Externa,colistin sulfate / hydrocortisone / neomycin / thonzonium bromide,Low,Lipid-soluble,Non-toxic,Electrolytes
10572,Acute Otitis Externa,ofloxacin,High,Lipid-soluble,Highly toxic,Electrolytes
10573,Acute Otitis Externa,ciprofloxacin,Moderate,Poorly soluble,Highly toxic,Electrolytes
10574,Acute Otitis Externa,ciprofloxacin / hydrocortisone,High,Water-soluble,Mildly toxic,Electrolytes
10575,Acute Otitis Externa,dexamethasone,Moderate,Sparingly soluble,Non-toxic,Electrolytes
10576,Acute Otitis Externa,colistin sulfate / hydrocortisone / neomycin / thonzonium bromide,High,Poorly soluble,Mildly toxic,Electrolytes
10577,Otitis Externa,hydrocortisone / neomycin / polymyxin b,Low,Sparingly soluble,Mildly toxic,Electrolytes
10578,Otitis Externa,ciprofloxacin / dexamethasone,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
10579,Otitis Externa,acetic acid,High,Poorly soluble,Mildly toxic,Electrolytes
10580,Otitis Externa,acetic acid / hydrocortisone,High,Lipid-soluble,Mildly toxic,Electrolytes
10581,Otitis Externa,ceftazidime,High,Poorly soluble,Mildly toxic,Electrolytes
10582,Otitis Externa,acetic acid / aluminum acetate,High,Water-soluble,Highly toxic,Electrolytes
10583,Otitis Externa,colistin sulfate / hydrocortisone / neomycin / thonzonium bromide,Low,Lipid-soluble,Non-toxic,Electrolytes
10584,Otitis Media,amoxicillin,High,Poorly soluble,Highly toxic,Electrolytes
10585,Otitis Media,cefdinir,Low,Lipid-soluble,Mildly toxic,Electrolytes
10586,Otitis Media,amoxicillin / clavulanate,Low,Lipid-soluble,Mildly toxic,Electrolytes
10587,Otitis Media,azithromycin,Low,Lipid-soluble,Non-toxic,Electrolytes
10588,Otitis Media,cephalexin,High,Water-soluble,Mildly toxic,Electrolytes
10589,Otitis Media,ofloxacin,High,Poorly soluble,Mildly toxic,Electrolytes
10590,Otitis Media,clarithromycin,Low,Sparingly soluble,Mildly toxic,Electrolytes
10591,Otitis Media,sulfamethoxazole / trimethoprim,Moderate,Poorly soluble,Non-toxic,Electrolytes
10592,Otitis Media,cefuroxime,High,Water-soluble,Highly toxic,Electrolytes
10593,Otitis Media,hydrocortisone / neomycin / polymyxin b,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
10594,Otitis Media,levofloxacin,Moderate,Poorly soluble,Highly toxic,Electrolytes
10595,Otitis Media,ciprofloxacin / dexamethasone,High,Water-soluble,Highly toxic,Electrolytes
10596,Otitis Media,erythromycin,High,Poorly soluble,Mildly toxic,Electrolytes
10597,Otitis Media,amoxicillin,Low,Sparingly soluble,Highly toxic,Electrolytes
10598,Otitis Media,cefdinir,Moderate,Water-soluble,Highly toxic,Electrolytes
10599,Otitis Media,amoxicillin / clavulanate,High,Water-soluble,Non-toxic,Electrolytes
10600,Otitis Media,azithromycin,High,Water-soluble,Mildly toxic,Electrolytes
10601,Otitis Media,cephalexin,High,Water-soluble,Non-toxic,Electrolytes
10602,Otitis Media,ofloxacin,High,Water-soluble,Highly toxic,Electrolytes
10603,Otitis Media,clarithromycin,Moderate,Lipid-soluble,Highly toxic,Electrolytes
10604,Otitis Media,sulfamethoxazole / trimethoprim,Low,Poorly soluble,Mildly toxic,Electrolytes
10605,Otitis Media,cefuroxime,High,Poorly soluble,Mildly toxic,Electrolytes
10606,Otitis Media,hydrocortisone / neomycin / polymyxin b,High,Sparingly soluble,Mildly toxic,Electrolytes
10607,Otitis Media,levofloxacin,Moderate,Sparingly soluble,Highly toxic,Electrolytes
10608,Otitis Media,ciprofloxacin / dexamethasone,High,Sparingly soluble,Highly toxic,Electrolytes
10609,Otitis Media,erythromycin,Moderate,Water-soluble,Highly toxic,Electrolytes
10610,Chronic Otitis Media,colistin sulfate / hydrocortisone / neomycin / thonzonium bromide,Moderate,Poorly soluble,Highly toxic,Electrolytes
10611,Ovarian Cancer,carboplatin,Moderate,Water-soluble,Non-toxic,Electrolytes
10612,Ovarian Cancer,paclitaxel,Low,Lipid-soluble,Highly toxic,Electrolytes
10613,Ovarian Cancer,doxorubicin liposomal,Low,Lipid-soluble,Mildly toxic,Electrolytes
10614,Ovarian Cancer,olaparib,Moderate,Water-soluble,Mildly toxic,Electrolytes
10615,Ovarian Cancer,doxorubicin,High,Sparingly soluble,Mildly toxic,Electrolytes
10616,Ovarian Cancer,gemcitabine,Low,Poorly soluble,Mildly toxic,Electrolytes
10617,Ovarian Cancer,cisplatin,Low,Lipid-soluble,Mildly toxic,Electrolytes
10618,Ovarian Cancer,methotrexate,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
10619,Ovarian Cancer,topotecan,Moderate,Poorly soluble,Mildly toxic,Electrolytes
10620,Ovarian Cancer,bevacizumab,Low,Lipid-soluble,Highly toxic,Electrolytes
10621,Ovarian Cancer,melphalan,High,Poorly soluble,Non-toxic,Electrolytes
10622,Ovarian Cysts,ethinyl estradiol / levonorgestrel,High,Poorly soluble,Mildly toxic,Electrolytes
10623,Ovarian Cysts,ethinyl estradiol / norgestimate,Low,Poorly soluble,Mildly toxic,Electrolytes
10624,Overactive Bladder,darifenacin,Moderate,Lipid-soluble,Highly toxic,Electrolytes
10625,Overactive Bladder,onabotulinumtoxinA,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
10626,Obesity,phentermine,Moderate,Poorly soluble,Highly toxic,Electrolytes
10627,Obesity,topiramate,High,Poorly soluble,Highly toxic,Electrolytes
10628,Obesity,phendimetrazine,Moderate,Poorly soluble,Non-toxic,Electrolytes
10629,Obesity,bupropion,Moderate,Poorly soluble,Mildly toxic,Electrolytes
10630,Obesity,orlistat,High,Lipid-soluble,Non-toxic,Electrolytes
10631,Obesity,diethylpropion,Low,Water-soluble,Highly toxic,Electrolytes
10632,Obesity,methamphetamine,Moderate,Sparingly soluble,Highly toxic,Electrolytes
10633,Obesity,lorcaserin,Moderate,Lipid-soluble,Non-toxic,Electrolytes
10634,Obesity,phentermine / topiramate,High,Lipid-soluble,Mildly toxic,Electrolytes
10635,Obesity,bupropion / naltrexone,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
10636,Ovulation Induction,clomiphene,High,Water-soluble,Highly toxic,Electrolytes
10637,Ovulation Induction,chorionic gonadotropin (hcg),Moderate,Poorly soluble,Non-toxic,Electrolytes
10638,Ovulation Induction,follicle stimulating hormone,Moderate,Lipid-soluble,Highly toxic,Electrolytes
10639,Ovulation Induction,menotropins,Moderate,Poorly soluble,Non-toxic,Electrolytes
10640,Ovulation Induction,cetrorelix,High,Poorly soluble,Highly toxic,Electrolytes
10641,Atrial Fibrillation,digoxin,Moderate,Water-soluble,Non-toxic,Electrolytes
10642,Atrial Fibrillation,metoprolol,Low,Water-soluble,Highly toxic,Electrolytes
10643,Atrial Fibrillation,diltiazem,High,Sparingly soluble,Non-toxic,Electrolytes
10644,Atrial Fibrillation,flecainide,High,Lipid-soluble,Highly toxic,Electrolytes
10645,Atrial Fibrillation,sotalol,Low,Lipid-soluble,Non-toxic,Electrolytes
10646,Atrial Fibrillation,carvedilol,Moderate,Poorly soluble,Non-toxic,Electrolytes
10647,Atrial Fibrillation,propafenone,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
10648,Atrial Fibrillation,rivaroxaban,High,Sparingly soluble,Mildly toxic,Electrolytes
10649,Atrial Fibrillation,dronedarone,High,Lipid-soluble,Highly toxic,Electrolytes
10650,Atrial Fibrillation,clonidine,Moderate,Water-soluble,Highly toxic,Electrolytes
10651,Atrial Fibrillation,propranolol,High,Lipid-soluble,Non-toxic,Electrolytes
10652,Paget's Disease,alendronate,Low,Lipid-soluble,Highly toxic,Electrolytes
10653,Paget's Disease,zoledronic acid,Low,Poorly soluble,Highly toxic,Electrolytes
10654,Paget's Disease,etidronate,Moderate,Poorly soluble,Mildly toxic,Electrolytes
10655,Paget's Disease,risedronate,High,Poorly soluble,Non-toxic,Electrolytes
10656,Paget's Disease,calcitonin,Low,Poorly soluble,Mildly toxic,Electrolytes
10657,Paget's Disease,pamidronate,Moderate,Water-soluble,Non-toxic,Electrolytes
10658,Pulmonary Hypertension,sildenafil,High,Water-soluble,Non-toxic,Nitric Oxide
10659,Pulmonary Hypertension,isosorbide dinitrate,Moderate,Poorly soluble,Non-toxic,Nitric Oxide
10660,Pulmonary Hypertension,tadalafil,Moderate,Water-soluble,Non-toxic,Nitric Oxide
10661,Pulmonary Hypertension,ambrisentan,High,Lipid-soluble,Mildly toxic,Nitric Oxide
10662,Pulmonary Hypertension,bosentan,Moderate,Lipid-soluble,Highly toxic,Nitric Oxide
10663,Pulmonary Hypertension,treprostinil,Low,Water-soluble,Highly toxic,Nitric Oxide
10664,Pulmonary Hypertension,macitentan,High,Water-soluble,Non-toxic,Nitric Oxide
10665,Pulmonary Hypertension,epoprostenol,High,Poorly soluble,Mildly toxic,Nitric Oxide
10666,Pulmonary Hypertension,iloprost,High,Lipid-soluble,Mildly toxic,Nitric Oxide
10667,Pulmonary Hypertension,riociguat,Low,Water-soluble,Non-toxic,Nitric Oxide
10668,Pain,tramadol,Moderate,Water-soluble,Mildly toxic,Electrolytes
10669,Pain,gabapentin,Moderate,Poorly soluble,Non-toxic,Electrolytes
10670,Pain,ibuprofen,Low,Lipid-soluble,Mildly toxic,Electrolytes
10671,Pain,oxycodone,Low,Sparingly soluble,Highly toxic,Electrolytes
10672,Pain,acetaminophen / hydrocodone,High,Water-soluble,Non-toxic,Electrolytes
10673,Pain,acetaminophen,Low,Sparingly soluble,Highly toxic,Electrolytes
10674,Pain,hydrocodone,High,Sparingly soluble,Non-toxic,Electrolytes
10675,Pain,naproxen,High,Sparingly soluble,Non-toxic,Electrolytes
10676,Pain,ketorolac,Moderate,Poorly soluble,Mildly toxic,Electrolytes
10677,Pain,amitriptyline,High,Lipid-soluble,Non-toxic,Electrolytes
10678,Pain,acetaminophen / oxycodone,High,Water-soluble,Highly toxic,Electrolytes
10679,Muscle Pain,ibuprofen,Moderate,Water-soluble,Highly toxic,Electrolytes
10680,Muscle Pain,naproxen,Low,Lipid-soluble,Highly toxic,Electrolytes
10681,Muscle Pain,acetaminophen,Low,Sparingly soluble,Highly toxic,Electrolytes
10682,Muscle Pain,diclofenac,Low,Poorly soluble,Non-toxic,Electrolytes
10683,Muscle Pain,nabumetone,High,Poorly soluble,Highly toxic,Electrolytes
10684,Back Pain,tramadol,High,Poorly soluble,Non-toxic,Electrolytes
10685,Back Pain,ibuprofen,Low,Poorly soluble,Mildly toxic,Electrolytes
10686,Back Pain,acetaminophen / hydrocodone,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
10687,Back Pain,naproxen,Moderate,Water-soluble,Mildly toxic,Electrolytes
10688,Back Pain,diclofenac,Low,Sparingly soluble,Non-toxic,Electrolytes
10689,Back Pain,duloxetine,Low,Water-soluble,Mildly toxic,Electrolytes
10690,Back Pain,aspirin,Moderate,Sparingly soluble,Non-toxic,Electrolytes
10691,Back Pain,nabumetone,Moderate,Water-soluble,Mildly toxic,Electrolytes
10692,Breakthrough Pain,fentanyl,Low,Water-soluble,Highly toxic,Electrolytes
10693,Muscle Pain,ibuprofen,Moderate,Poorly soluble,Non-toxic,Electrolytes
10694,Muscle Pain,naproxen,Low,Poorly soluble,Highly toxic,Electrolytes
10695,Muscle Pain,acetaminophen,High,Sparingly soluble,Highly toxic,Electrolytes
10696,Muscle Pain,diclofenac,Low,Water-soluble,Highly toxic,Electrolytes
10697,Muscle Pain,nabumetone,Low,Sparingly soluble,Mildly toxic,Electrolytes
10698,Muscle Pain,ibuprofen,High,Poorly soluble,Non-toxic,Electrolytes
10699,Muscle Pain,naproxen,Moderate,Water-soluble,Highly toxic,Electrolytes
10700,Muscle Pain,acetaminophen,Low,Poorly soluble,Non-toxic,Electrolytes
10701,Muscle Pain,diclofenac,High,Water-soluble,Non-toxic,Electrolytes
10702,Muscle Pain,nabumetone,High,Lipid-soluble,Non-toxic,Electrolytes
10703,Muscle Pain,ibuprofen,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
10704,Muscle Pain,naproxen,Moderate,Lipid-soluble,Non-toxic,Electrolytes
10705,Muscle Pain,acetaminophen,Moderate,Lipid-soluble,Highly toxic,Electrolytes
10706,Muscle Pain,diclofenac,High,Water-soluble,Highly toxic,Electrolytes
10707,Muscle Pain,nabumetone,High,Sparingly soluble,Mildly toxic,Electrolytes
10708,Pain/Fever,acetaminophen / aspirin / caffeine,Low,Water-soluble,Highly toxic,Electrolytes
10709,Pain/Fever,naproxen / pseudoephedrine,High,Poorly soluble,Highly toxic,Electrolytes
10710,Pain/Fever,acetaminophen / dextromethorphan / phenylephrine,Low,Sparingly soluble,Highly toxic,Electrolytes
10711,Pain/Fever,acetaminophen / dextromethorphan / doxylamine / phenylephrine,Low,Water-soluble,Highly toxic,Electrolytes
10712,Dyspareunia,ospemifene,Moderate,Poorly soluble,Highly toxic,Electrolytes
10713,Dyspareunia,dehydroepiandrosterone,Moderate,Lipid-soluble,Highly toxic,Electrolytes
10714,Dyspareunia,estradiol,Low,Lipid-soluble,Non-toxic,Electrolytes
10715,Dyspareunia,ospemifene,Low,Water-soluble,Non-toxic,Electrolytes
10716,Dyspareunia,dehydroepiandrosterone,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
10717,Dyspareunia,estradiol,Moderate,Lipid-soluble,Non-toxic,Electrolytes
10718,Dupuytren's contracture,collagenase clostridium histolyticum,High,Poorly soluble,Highly toxic,Electrolytes
10719,Psoriasis,clobetasol,High,Water-soluble,Non-toxic,Collagen Type I
10720,Psoriasis,methotrexate,Low,Lipid-soluble,Non-toxic,Collagen Type I
10721,Psoriasis,triamcinolone,High,Poorly soluble,Highly toxic,Collagen Type I
10722,Psoriasis,fluocinonide,High,Poorly soluble,Mildly toxic,Collagen Type I
10723,Psoriasis,triamcinolone,Low,Lipid-soluble,Highly toxic,Collagen Type I
10724,Psoriasis,calcipotriene,High,Water-soluble,Non-toxic,Collagen Type I
10725,Psoriasis,mometasone,High,Lipid-soluble,Non-toxic,Collagen Type I
10726,Psoriasis,desonide,High,Poorly soluble,Non-toxic,Collagen Type I
10727,Psoriasis,prednisone,Moderate,Poorly soluble,Highly toxic,Collagen Type I
10728,Psoriasis,acitretin,Moderate,Lipid-soluble,Mildly toxic,Collagen Type I
10729,Psoriasis,cyclosporine,High,Sparingly soluble,Highly toxic,Collagen Type I
10730,Psoriasis,hydrocortisone,High,Lipid-soluble,Mildly toxic,Collagen Type I
10731,Psoriasis,ustekinumab,High,Poorly soluble,Highly toxic,Collagen Type I
10732,Psoriasis,adalimumab,High,Sparingly soluble,Non-toxic,Collagen Type I
10733,Psoriasis,betamethasone / calcipotriene,Low,Poorly soluble,Mildly toxic,Collagen Type I
10734,Arrhythmia,amiodarone,High,Poorly soluble,Mildly toxic,Electrolytes
10735,Arrhythmia,verapamil,High,Poorly soluble,Non-toxic,Electrolytes
10736,Arrhythmia,propranolol,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
10737,Arrhythmia,dofetilide,Low,Sparingly soluble,Non-toxic,Electrolytes
10738,Arrhythmia,lidocaine,Moderate,Water-soluble,Highly toxic,Electrolytes
10739,Arrhythmia,mexiletine,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
10740,Arrhythmia,disopyramide,Low,Sparingly soluble,Highly toxic,Electrolytes
10741,Arrhythmia,phenytoin,Moderate,Poorly soluble,Mildly toxic,Electrolytes
10742,Arrhythmia,quinidine,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
10743,Arrhythmia,procainamide,High,Sparingly soluble,Non-toxic,Electrolytes
10744,Pancreatic Cancer,gemcitabine,High,Lipid-soluble,Mildly toxic,Electrolytes
10745,Pancreatic Cancer,fluorouracil,Moderate,Poorly soluble,Highly toxic,Electrolytes
10746,Pancreatic Cancer,capecitabine,Moderate,Poorly soluble,Highly toxic,Electrolytes
10747,Pancreatic Cancer,everolimus,High,Lipid-soluble,Highly toxic,Electrolytes
10748,Pancreatic Cancer,paclitaxel protein-bound,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
10749,Pancreatic Cancer,pancreatin,High,Sparingly soluble,Mildly toxic,Electrolytes
10750,Pancreatic Cancer,methotrexate,Low,Sparingly soluble,Mildly toxic,Electrolytes
10751,Pancreatic Cancer,irinotecan liposomal,Low,Poorly soluble,Non-toxic,Electrolytes
10752,Pancreatic Cancer,erlotinib,High,Poorly soluble,Mildly toxic,Electrolytes
10753,Pancreatic Cancer,bevacizumab,High,Poorly soluble,Mildly toxic,Electrolytes
10754,Pancreatic Cancer,sunitinib,High,Poorly soluble,Mildly toxic,Electrolytes
10755,Pancreatic Cancer,mitomycin,Moderate,Sparingly soluble,Non-toxic,Electrolytes
10756,Pancreatic Cancer,streptozocin,Moderate,Water-soluble,Mildly toxic,Electrolytes
10757,Pancreatic Cancer,cetuximab,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
10758,Pancreatic Cancer,olaparib,High,Sparingly soluble,Highly toxic,Electrolytes
10759,Pancreatic Cancer,gemcitabine,High,Poorly soluble,Highly toxic,Electrolytes
10760,Pancreatic Cancer,fluorouracil,High,Poorly soluble,Mildly toxic,Electrolytes
